"alpha","CL","noise","KL_divergence","IOU_score","shape"
1,1,0,2.10872406089453,0.121621996587365,"squares"
1,1,0.01,2.11337321194056,0.120824960342829,"squares"
1,0.95,0,19.283863281289,0,"squares"
1,0.95,0.01,19.2799084270209,0.000146575284351433,"squares"
1,1,0,0.133067708060387,0.992465334405948,"concentric"
0.5,1,0,0.16278038304586,0.990776533240304,"concentric"
2,1,0,0.108816561594152,0.993849455570391,"concentric"
1.5,1,0,0.119611247497338,0.993235358538644,"concentric"
1,1,0.01,0.119826559577308,0.97614964001272,"concentric"
1,1,0.05,0.163712531074457,0.902404331210144,"concentric"
1,1,0.001,0.120234939234822,0.992450600954475,"concentric"
1,0.95,0.01,NA,0,"concentric"
1,0.9,0.01,NA,0,"concentric"
0.5,0.95,0.01,NA,0,"concentric"
2,0.95,0.01,NA,0,"concentric"
1.5,0.95,0.01,NA,0,"concentric"
